Date,2020 AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (1980-2019),20-year Low (1980-2019),5-year Median (2015-2019),New Date
1/1/2020,36,PM2.5,Intermediate School 143,36-061-0115,AQS,119,42,51,1/1
1/2/2020,56,PM2.5,Intermediate School 143,36-061-0115,AQS,115,45,63,1/2
1/3/2020,62,PM2.5,Intermediate School 143,36-061-0115,AQS,90,43,56,1/3
1/4/2020,55,PM2.5,CCNY,36-061-0135,AQS,95,46,48,1/4
1/5/2020,37,PM2.5,CCNY,36-061-0135,AQS,91,33,48,1/5
1/6/2020,47,PM2.5,Intermediate School 143,36-061-0115,AQS,101,31,53,1/6
1/7/2020,43,PM2.5,DIVISION STREET,36-061-0134,AQS,108,36,53,1/7
1/8/2020,47,PM2.5,Intermediate School 143,36-061-0115,AQS,82,43,58,1/8
1/9/2020,43,PM2.5,Intermediate School 143,36-061-0115,AQS,85,37,56,1/9
1/10/2020,50,PM2.5,Intermediate School 143,36-061-0115,AQS,101,39,53,1/10
1/11/2020,49,PM2.5,CCNY,36-061-0135,AQS,106,22,54,1/11
1/12/2020,40,PM2.5,Intermediate School 143,36-061-0115,AQS,73,22,55,1/12
1/13/2020,49,PM2.5,DIVISION STREET,36-061-0134,AQS,86,42,44,1/13
1/14/2020,53,PM2.5,DIVISION STREET,36-061-0134,AQS,125,41,44,1/14
1/15/2020,55,PM2.5,Intermediate School 143,36-061-0115,AQS,89,19,58,1/15
1/16/2020,43,PM2.5,Intermediate School 143,36-061-0115,AQS,86,45,59,1/16
1/17/2020,37,PM2.5,Intermediate School 143,36-061-0115,AQS,104,31,47,1/17
1/18/2020,26,PM2.5,DIVISION STREET,36-061-0134,AQS,96,21,56,1/18
1/19/2020,40,PM2.5,Intermediate School 143,36-061-0115,AQS,95,36,47,1/19
1/20/2020,30,PM2.5,Intermediate School 143,36-061-0115,AQS,73,20,44,1/20
1/21/2020,35,PM2.5,Intermediate School 143,36-061-0115,AQS,71,26,61,1/21
