Date,2020 AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (1980-2019),20-year Low (1980-2019),5-year Median (2015-2019),New Date
1/1/2020,102,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,180,52,145,1-Jan
1/2/2020,66,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,155,37,93,2-Jan
1/3/2020,87,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,110,24,100,3-Jan
1/4/2020,99,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,118,47,85,4-Jan
1/5/2020,96,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,102,39,57,5-Jan
1/6/2020,72,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,106,36,52,6-Jan
1/7/2020,38,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,156,43,59,7-Jan
1/8/2020,57,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,136,34,66,8-Jan
1/9/2020,50,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,156,30,74,9-Jan
1/10/2020,65,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,158,34,67,10-Jan
1/11/2020,75,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,153,37,76,11-Jan
1/12/2020,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,154,48,60,12-Jan
1/13/2020,81,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,140,45,67,13-Jan
1/14/2020,85,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,143,49,70,14-Jan
1/15/2020,124,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,103,39,67,15-Jan
1/16/2020,88,PM2.5,Long Beach (South),06-037-4004,AirNow,109,31,72,16-Jan
1/17/2020,38,Ozone,Santa Clarita,06-037-6012,AirNow,135,31,80,17-Jan
1/18/2020,62,PM2.5,Long Beach (South),06-037-4004,AirNow,153,43,72,18-Jan
1/19/2020,58,PM2.5,Long Beach (South),06-037-4004,AirNow,148,39,65,19-Jan
1/20/2020,61,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,153,40,45,20-Jan
1/21/2020,49,PM2.5,Glendora,06-037-0016,AirNow,159,40,54,21-Jan
1/22/2020,53,PM2.5,Long Beach (South),06-037-4004,AirNow,153,39,65,22-Jan
1/23/2020,58,PM2.5,Long Beach (South),06-037-4004,AirNow,144,44,56,23-Jan
1/24/2020,61,PM2.5,Long Beach (South),06-037-4004,AirNow,124,36,63,24-Jan
1/25/2020,87,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,99,46,55,25-Jan
1/26/2020,108,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,106,36,62,26-Jan
1/27/2020,77,PM2.5,Long Beach (South),06-037-4004,AirNow,93,36,65,27-Jan
1/28/2020,57,PM2.5,Long Beach (South),06-037-4004,AirNow,129,34,72,28-Jan
1/29/2020,46,PM2.5,Long Beach (South),06-037-4004,AirNow,147,40,66,29-Jan
1/30/2020,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,112,37,66,30-Jan
1/31/2020,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,90,40,68,31-Jan
2/1/2020,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,101,38,71,1-Feb
2/2/2020,69,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,114,41,74,2-Feb
2/3/2020,45,Ozone,Pasadena,06-037-2005,AirNow,120,38,64,3-Feb
2/4/2020,41,Ozone,Reseda,06-037-1201,AirNow,156,35,58,4-Feb
2/5/2020,52,PM2.5,Long Beach (South),06-037-4004,AirNow,149,39,66,5-Feb
2/6/2020,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,141,36,55,6-Feb
2/7/2020,76,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,153,33,65,7-Feb
2/8/2020,76,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,134,19,72,8-Feb
2/9/2020,51,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,120,29,52,9-Feb
2/10/2020,42,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,124,33,60,10-Feb
2/11/2020,45,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,153,31,55,11-Feb
2/12/2020,52,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,94,28,54,12-Feb
2/13/2020,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,133,33,56,13-Feb
2/14/2020,64,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,95,38,58,14-Feb
2/15/2020,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,123,41,70,15-Feb
2/16/2020,80,Ozone,Pomona,06-037-1701,AirNow,129,40,60,16-Feb
2/17/2020,71,Ozone,Pasadena,06-037-2005,AirNow,123,38,55,17-Feb
2/18/2020,72,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,127,35,46,18-Feb
2/19/2020,80,PM2.5,Glendora,06-037-0016,AirNow,152,38,53,19-Feb
2/20/2020,78,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,130,35,51,20-Feb
2/21/2020,70,PM2.5,Long Beach (South),06-037-4004,AirNow,84,40,56,21-Feb
2/22/2020,42,Ozone,Pasadena,06-037-2005,AirNow,84,37,60,22-Feb
2/23/2020,53,PM2.5,Glendora,06-037-0016,AirNow,117,35,50,23-Feb
2/24/2020,59,PM2.5,Glendora,06-037-0016,AirNow,120,38,49,24-Feb
2/25/2020,61,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,139,35,60,25-Feb
