Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25
1/1/2020,36,PM2.5,Intermediate School 143,36-061-0115,AQS,2,21,.,36
1/2/2020,56,PM2.5,Intermediate School 143,36-061-0115,AQS,13,12,.,56
1/3/2020,62,PM2.5,Intermediate School 143,36-061-0115,AQS,13,1,.,62
1/4/2020,55,PM2.5,CCNY,36-061-0135,AQS,8,24,.,55
1/5/2020,37,PM2.5,CCNY,36-061-0135,AQS,3,27,.,37
1/6/2020,47,PM2.5,Intermediate School 143,36-061-0115,AQS,3,15,.,47
1/7/2020,43,PM2.5,DIVISION STREET,36-061-0134,AQS,6,12,.,43
1/8/2020,47,PM2.5,Intermediate School 143,36-061-0115,AQS,3,28,.,47
1/9/2020,43,PM2.5,Intermediate School 143,36-061-0115,AQS,3,22,.,43
1/10/2020,50,PM2.5,Intermediate School 143,36-061-0115,AQS,5,11,.,50
1/11/2020,49,PM2.5,CCNY,36-061-0135,AQS,5,28,.,49
1/12/2020,40,PM2.5,Intermediate School 143,36-061-0115,AQS,3,28,.,40
1/13/2020,49,PM2.5,DIVISION STREET,36-061-0134,AQS,5,13,.,49
1/14/2020,53,PM2.5,DIVISION STREET,36-061-0134,AQS,6,4,.,53
1/15/2020,55,PM2.5,Intermediate School 143,36-061-0115,AQS,6,20,.,55
1/16/2020,43,PM2.5,Intermediate School 143,36-061-0115,AQS,5,.,.,43
1/17/2020,37,PM2.5,Intermediate School 143,36-061-0115,AQS,2,30,.,37
1/18/2020,26,PM2.5,DIVISION STREET,36-061-0134,AQS,5,23,.,26
1/19/2020,40,PM2.5,Intermediate School 143,36-061-0115,AQS,3,29,.,40
1/20/2020,30,PM2.5,Intermediate School 143,36-061-0115,AQS,2,30,.,30
1/21/2020,35,PM2.5,Intermediate School 143,36-061-0115,AQS,2,26,.,35
1/22/2020,45,PM2.5,DIVISION STREET,36-061-0134,AQS,9,12,.,45
1/23/2020,67,PM2.5,Intermediate School 143,36-061-0115,AQS,16,6,.,67
1/24/2020,66,PM2.5,DIVISION STREET,36-061-0134,AQS,13,19,.,66
1/25/2020,26,Ozone,CCNY,36-061-0135,AirNow,6,26,.,25
1/26/2020,29,PM2.5,Intermediate School 143,36-061-0115,AQS,7,17,.,29
1/27/2020,35,PM2.5,Intermediate School 143,36-061-0115,AQS,9,19,.,35
1/28/2020,30,PM2.5,Intermediate School 143,36-061-0115,AQS,2,29,.,30
1/29/2020,29,Ozone,CCNY,36-061-0135,AirNow,2,29,.,28
1/30/2020,37,PM2.5,Intermediate School 143,36-061-0115,AQS,5,22,.,37
1/31/2020,54,PM2.5,Intermediate School 143,36-061-0115,AQS,7,6,.,54
2/1/2020,50,PM2.5,DIVISION STREET,36-061-0134,AQS,6,8,.,50
2/2/2020,44,PM2.5,Intermediate School 143,36-061-0115,AQS,8,20,.,44
2/3/2020,52,PM2.5,Intermediate School 143,36-061-0115,AQS,9,21,19,52
2/4/2020,61,PM2.5,Intermediate School 143,36-061-0115,AQS,17,18,.,61
2/5/2020,23,PM2.5,CCNY,36-061-0135,AQS,11,22,.,23
2/6/2020,32,PM2.5,DIVISION STREET,36-061-0134,AQS,5,16,.,32
2/7/2020,30,PM2.5,Intermediate School 143,36-061-0115,AQS,5,29,.,30
2/8/2020,47,PM2.5,Intermediate School 143,36-061-0115,AQS,6,29,.,47
2/9/2020,46,PM2.5,Intermediate School 143,36-061-0115,AQS,7,25,13,46
2/10/2020,39,PM2.5,Intermediate School 143,36-061-0115,AQS,10,24,.,39
2/11/2020,36,PM2.5,Intermediate School 143,36-061-0115,AQS,10,25,.,36
2/12/2020,40,PM2.5,DIVISION STREET,36-061-0134,AQS,5,26,.,40
2/13/2020,34,PM2.5,Intermediate School 143,36-061-0115,AQS,6,23,.,34
2/14/2020,34,PM2.5,Intermediate School 143,36-061-0115,AQS,3,29,.,34
2/15/2020,29,PM2.5,Intermediate School 143,36-061-0115,AQS,5,19,.,29
2/16/2020,45,PM2.5,Intermediate School 143,36-061-0115,AQS,8,16,.,45
2/17/2020,43,PM2.5,Intermediate School 143,36-061-0115,AQS,7,31,.,43
2/18/2020,46,PM2.5,IS 45,36-061-0079,AQS,5,23,.,46
2/19/2020,34,PM2.5,Intermediate School 143,36-061-0115,AQS,5,31,.,34
